patch_num,champ,item_id,purchases
5.11,131,3072,1
5.11,131,3075,9
5.11,131,3077,1
5.11,131,3078,6
5.11,131,3725,2
5.11,131,3726,5
5.11,131,3720,2
5.11,131,3174,17
5.11,131,1027,11
5.11,131,1026,214
5.11,131,2041,124
5.11,131,1029,35
5.11,131,1028,5
5.11,131,3275,7
5.11,131,3146,8
5.11,131,3060,1
5.11,131,3067,1
5.11,131,3065,4
5.11,131,3068,1
5.11,131,1052,120
5.11,131,1053,3
5.11,131,3108,51
5.11,131,1055,1
5.11,131,1056,536
5.11,131,1057,53
5.11,131,1058,226
5.11,131,3105,1
5.11,131,3100,497
5.11,131,3101,48
5.11,131,3102,7
5.11,131,2139,4
5.11,131,3191,123
5.11,131,3708,100
5.11,131,3709,3
5.11,131,3057,105
5.11,131,3706,5
5.11,131,3707,1
5.11,131,1042,6
5.11,131,3117,11
5.11,131,3116,47
5.11,131,3115,296
5.11,131,3114,2
5.11,131,3113,103
5.11,131,3111,10
5.11,131,3110,11
5.11,131,2003,115
5.11,131,2004,31
5.11,134,3114,5
5.11,134,3143,1
5.11,134,3065,1
5.11,134,1029,7
5.11,134,3027,5
5.11,134,3260,2
5.11,134,3275,10
5.11,134,3001,15
5.11,134,3145,1
5.11,134,3003,1
5.11,134,3041,3
5.11,134,3040,12
5.11,134,3069,3
5.11,134,3165,150
5.11,134,3009,2
5.11,134,3303,4
5.11,134,1011,4
5.11,134,3301,2
5.11,134,3258,2
5.11,134,3259,10
5.11,134,1052,37
5.11,134,3108,15
5.11,134,3211,1
5.11,134,1056,198
5.11,134,3028,17
5.11,134,1058,76
5.11,134,3026,8
5.11,134,3025,1
5.11,134,3023,1
5.11,134,3255,157
5.11,134,3256,2
5.11,134,3020,145
5.11,134,0,248
5.11,134,3089,168
5.11,134,3222,3
5.11,134,1033,1
5.11,134,1031,2
5.11,134,1036,1
5.11,134,2010,9
5.11,134,2004,11
5.11,134,2139,1
5.11,134,3257,1
5.11,134,3060,2
5.11,134,1027,1
5.11,134,3135,96
5.11,134,3152,3
5.11,134,3270,1
5.11,134,2045,3
5.11,134,3157,118
5.11,134,3057,1
5.11,134,3285,179
5.11,134,3158,4
5.11,134,3174,190
5.11,134,1055,1
5.11,134,3070,4
5.11,134,2044,9
5.11,134,1026,72
5.11,134,2043,6
5.11,134,2041,6
5.11,134,3116,27
5.11,134,3010,2
5.11,134,1057,6
5.11,134,3113,31
5.11,134,1028,2
5.11,134,3111,3
5.11,134,2049,12
5.11,134,3092,6
5.11,134,2003,26
5.11,134,3136,2
5.11,134,3091,1
5.11,134,3102,1
5.11,134,3191,40
5.11,134,3190,1
5.11,134,3151,1
5.11,134,3098,1
5.11,134,1004,2
5.11,134,3115,1
5.11,134,1001,22
5.11,24,3715,2
5.11,24,3714,7
5.11,24,3717,19
5.11,24,3716,1
5.11,24,3711,5
5.11,24,3710,107
5.11,24,3713,4
5.11,24,3719,2
5.11,24,3718,26
5.11,24,3724,1
5.11,24,3042,1
5.11,24,3044,111
5.11,24,3047,192
5.11,24,3046,11
5.11,24,3284,4
5.11,24,3250,24
5.11,24,3252,2
5.11,24,3254,3
5.11,24,3255,1
5.11,24,3124,29
5.11,24,3257,1
5.11,24,0,1098
5.11,24,3280,5
5.11,24,2010,1
5.11,24,3401,2
5.11,24,3134,8
5.11,24,1026,5
5.11,24,3139,3
5.11,24,3035,12
5.11,24,3031,18
5.11,24,2140,1
5.11,24,3140,3
5.11,24,3141,2
5.11,24,3274,4
5.11,24,3143,346
5.11,24,3144,145
5.11,24,3145,10
5.11,24,3146,46
5.11,24,3303,1
5.11,24,3301,1
5.11,24,3027,1
5.11,24,3026,59
5.11,24,3025,2
5.11,24,3024,11
